GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,Att.,LOG,Notes
48,2025-01-20,3:00 PM,,Minnesota Wild,,,,,,,,,,,
49,2025-01-22,9:30 PM,,Winnipeg Jets,,,,,,,,,,,
50,2025-01-25,1:00 PM,@,Boston Bruins,,,,,,,,,,,
51,2025-01-26,1:00 PM,@,New York Rangers,,,,,,,,,,,
52,2025-01-28,7:30 PM,@,New York Islanders,,,,,,,,,,,
53,2025-01-31,9:00 PM,,St. Louis Blues,,,,,,,,,,,
54,2025-02-02,3:00 PM,,Philadelphia Flyers,,,,,,,,,,,
55,2025-02-04,10:00 PM,@,Vancouver Canucks,,,,,,,,,,,
56,2025-02-06,9:00 PM,@,Calgary Flames,,,,,,,,,,,
57,2025-02-07,9:00 PM,@,Edmonton Oilers,,,,,,,,,,,
58,2025-02-22,6:00 PM,@,Nashville Predators,,,,,,,,,,,
59,2025-02-23,6:00 PM,@,St. Louis Blues,,,,,,,,,,,
60,2025-02-26,9:30 PM,,New Jersey Devils,,,,,,,,,,,
61,2025-02-28,9:00 PM,,Minnesota Wild,,,,,,,,,,,
62,2025-03-04,9:00 PM,,Pittsburgh Penguins,,,,,,,,,,,
63,2025-03-06,9:00 PM,,San Jose Sharks,,,,,,,,,,,
64,2025-03-08,7:00 PM,,Toronto Maple Leafs,,,,,,,,,,,
65,2025-03-10,9:00 PM,,Chicago Blackhawks,,,,,,,,,,,
66,2025-03-11,8:00 PM,@,Minnesota Wild,,,,,,,,,,,
67,2025-03-14,9:00 PM,@,Calgary Flames,,,,,,,,,,,
68,2025-03-16,3:30 PM,,Dallas Stars,,,,,,,,,,,
69,2025-03-19,7:00 PM,@,Toronto Maple Leafs,,,,,,,,,,,
70,2025-03-20,7:00 PM,@,Ottawa Senators,,,,,,,,,,,
71,2025-03-22,7:00 PM,@,Montreal Canadiens,,,,,,,,,,,
72,2025-03-25,9:00 PM,,Detroit Red Wings,,,,,,,,,,,
73,2025-03-27,10:00 PM,,Los Angeles Kings,,,,,,,,,,,
74,2025-03-29,4:30 PM,,St. Louis Blues,,,,,,,,,,,
75,2025-03-31,8:30 PM,,Calgary Flames,,,,,,,,,,,
76,2025-04-02,9:30 PM,@,Chicago Blackhawks,,,,,,,,,,,
77,2025-04-03,7:30 PM,@,Columbus Blue Jackets,,,,,,,,,,,
78,2025-04-05,7:00 PM,@,St. Louis Blues,,,,,,,,,,,
79,2025-04-08,9:30 PM,,Vegas Golden Knights,,,,,,,,,,,
80,2025-04-10,9:00 PM,,Vancouver Canucks,,,,,,,,,,,
81,2025-04-12,4:00 PM,@,Los Angeles Kings,,,,,,,,,,,
82,2025-04-13,10:00 PM,@,Anaheim Ducks,,,,,,,,,,,
